Store Name,Address,Phone Number,Website,Opening Hours,Author Name,Rating,Review Text,Time Description
Khaadi,"near Askari Bank, Pak Block Allama Iqbal Town, Lahore, Punjab 54570, Pakistan",(042) 37808512,http://pk.khaadi.com/,"Monday: 11:00 AM – 10:00 PM, Tuesday: 11:00 AM – 10:00 PM, Wednesday: 11:00 AM – 10:00 PM, Thursday: 11:00 AM – 10:00 PM, Friday: 11:00 AM – 10:00 PM, Saturday: 11:00 AM – 10:00 PM, Sunday: 2:00 – 10:00 PM",Rao Umair,5,"40,30 & 20% sale on khadi and style of dresses are nice bt prices are too high...",2 years ago
Khaadi,"near Askari Bank, Pak Block Allama Iqbal Town, Lahore, Punjab 54570, Pakistan",(042) 37808512,http://pk.khaadi.com/,"Monday: 11:00 AM – 10:00 PM, Tuesday: 11:00 AM – 10:00 PM, Wednesday: 11:00 AM – 10:00 PM, Thursday: 11:00 AM – 10:00 PM, Friday: 11:00 AM – 10:00 PM, Saturday: 11:00 AM – 10:00 PM, Sunday: 2:00 – 10:00 PM",Muhammad Aamir Saleem,5,Amazing building with lots of well managed plants in there. I especially like their plants in the building. It creates an amazing atmosphere on the building giving positive vibes. Their clothes are also quite affordable and of top quality. I have visited many outlets of Khaadi with my family and I have always been impressed with the plants and the building architecture. Hope they always manage real plants and don't go for fake plants like many others.,9 months ago
Khaadi,"near Askari Bank, Pak Block Allama Iqbal Town, Lahore, Punjab 54570, Pakistan",(042) 37808512,http://pk.khaadi.com/,"Monday: 11:00 AM – 10:00 PM, Tuesday: 11:00 AM – 10:00 PM, Wednesday: 11:00 AM – 10:00 PM, Thursday: 11:00 AM – 10:00 PM, Friday: 11:00 AM – 10:00 PM, Saturday: 11:00 AM – 10:00 PM, Sunday: 2:00 – 10:00 PM",Herbo Natural,4,Rates and rush was too much. It was a bigger outlet but with less parking space.,a year ago
Khaadi,"near Askari Bank, Pak Block Allama Iqbal Town, Lahore, Punjab 54570, Pakistan",(042) 37808512,http://pk.khaadi.com/,"Monday: 11:00 AM – 10:00 PM, Tuesday: 11:00 AM – 10:00 PM, Wednesday: 11:00 AM – 10:00 PM, Thursday: 11:00 AM – 10:00 PM, Friday: 11:00 AM – 10:00 PM, Saturday: 11:00 AM – 10:00 PM, Sunday: 2:00 – 10:00 PM",Fahad Zafar,5,A great shopping experience for ladies with wide range of seasonal articles. Khaadi has maintained the look and interior of their store outlets with uniformity.,5 years ago
Khaadi,"near Askari Bank, Pak Block Allama Iqbal Town, Lahore, Punjab 54570, Pakistan",(042) 37808512,http://pk.khaadi.com/,"Monday: 11:00 AM – 10:00 PM, Tuesday: 11:00 AM – 10:00 PM, Wednesday: 11:00 AM – 10:00 PM, Thursday: 11:00 AM – 10:00 PM, Friday: 11:00 AM – 10:00 PM, Saturday: 11:00 AM – 10:00 PM, Sunday: 2:00 – 10:00 PM",Ahmad Bilal,4,This place has become a phenomenon in Pakistan and a must visit place for ladies to buy for special occasions. They opened their Iqbal town branch on main boulevard Iqbal town almost an year back and they are getting all the attention what they are famous for.,5 years ago
Khaadi,"15L, Mini Market, MM Alam Rd, Block L Gulberg 2, Lahore, Punjab 54660, Pakistan",(042) 35878664,https://pk.khaadi.com/,"Monday: 11:00 AM – 10:00 PM, Tuesday: 11:00 AM – 10:00 PM, Wednesday: 11:00 AM – 10:00 PM, Thursday: 11:00 AM – 10:00 PM, Friday: 11:00 AM – 10:00 PM, Saturday: 11:00 AM – 10:00 PM, Sunday: 2:00 – 10:00 PM",A Hurera Shakeel,5,"Khadi perfumes is the best perfume in allover the brands except j. Bonanza, limelight, outfitter etc...
The perfomance of the khadi perfume is best and very long lasting. I used j. Many time but i can never compare these perfumes with each other due to the performance.
Highly recomended",4 months ago
Khaadi,"15L, Mini Market, MM Alam Rd, Block L Gulberg 2, Lahore, Punjab 54660, Pakistan",(042) 35878664,https://pk.khaadi.com/,"Monday: 11:00 AM – 10:00 PM, Tuesday: 11:00 AM – 10:00 PM, Wednesday: 11:00 AM – 10:00 PM, Thursday: 11:00 AM – 10:00 PM, Friday: 11:00 AM – 10:00 PM, Saturday: 11:00 AM – 10:00 PM, Sunday: 2:00 – 10:00 PM",S S,4,"Nice clothes, I was only able to choose one kameez and a matching trousers to buy, though I went to buy 3 or 4, around a 10k price (pkr).. so not many designs would likely match one's taste.
The hand embroidered weren't in the price range for daily wearing. They were 28k each, and the patterns weren't great enough attractive to encourage me to splash the cash.",2 months ago
Khaadi,"15L, Mini Market, MM Alam Rd, Block L Gulberg 2, Lahore, Punjab 54660, Pakistan",(042) 35878664,https://pk.khaadi.com/,"Monday: 11:00 AM – 10:00 PM, Tuesday: 11:00 AM – 10:00 PM, Wednesday: 11:00 AM – 10:00 PM, Thursday: 11:00 AM – 10:00 PM, Friday: 11:00 AM – 10:00 PM, Saturday: 11:00 AM – 10:00 PM, Sunday: 2:00 – 10:00 PM",Ahmad Azeem,5,"""I recently visited Khaddi and was thoroughly impressed by their vibrant collection and exceptional quality. The staff was friendly and the service was prompt. The store's ambiance was welcoming, making my shopping experience delightful. Highly recommended for anyone looking for stylish and comfortable clothing!""",4 months ago
Khaadi,"15L, Mini Market, MM Alam Rd, Block L Gulberg 2, Lahore, Punjab 54660, Pakistan",(042) 35878664,https://pk.khaadi.com/,"Monday: 11:00 AM – 10:00 PM, Tuesday: 11:00 AM – 10:00 PM, Wednesday: 11:00 AM – 10:00 PM, Thursday: 11:00 AM – 10:00 PM, Friday: 11:00 AM – 10:00 PM, Saturday: 11:00 AM – 10:00 PM, Sunday: 2:00 – 10:00 PM",Farrukh Aslam,5,"This branch of Khaadi offers huge collection of stitched and unstitched clothes. The staff is normally helpful and courteous with great overall ambiance. Display of most of the variety along the walls helps you get a better view of the print and cloth quality, for proper selection.
It has a lot of outdoor parking 🅿️ area, around the store, covering both the connecting roads but still it becomes overcrowded at times. The usual peak time rush at the mini market also contributes to the parking congestion.",3 years ago
Khaadi,"15L, Mini Market, MM Alam Rd, Block L Gulberg 2, Lahore, Punjab 54660, Pakistan",(042) 35878664,https://pk.khaadi.com/,"Monday: 11:00 AM – 10:00 PM, Tuesday: 11:00 AM – 10:00 PM, Wednesday: 11:00 AM – 10:00 PM, Thursday: 11:00 AM – 10:00 PM, Friday: 11:00 AM – 10:00 PM, Saturday: 11:00 AM – 10:00 PM, Sunday: 2:00 – 10:00 PM",Abdul Hammad,5,"I love their articles and the fabric !!
Khaadi has a great ambiance
I love the plants they have in their outlets with a specific green very very fresh !!",2 years ago
